"movie","count ( _id )","latitude","longitude"
"Thunivu & Varisu","7","75.0066516","15.4540505"
"Thunivu & Varisu","5","78.41517103591221","15.52481495"
"Thunivu & Varisu","1","80.9462937","16.1701401"
"Thunivu","1","78.8343193","9.3652354"
"Thunivu","1","-96.8236116","33.1506744"
"Varisu","1","80.7137847","7.5554942"
"Varisu","3","-83.3393462","37.3112042"
"Thunivu","3","77.67662686841793","11.369204400000001"
"Thunivu & Varisu","1","87.5","26"
"Varisu","2","73.1942567","22.2973142"
"Thunivu","9","78.833333","10.5"
"Varisu","4","77.1921156663574","20.76181225"
"Varisu","4","86.9163367","27.985688"
"Varisu","22","71.745261","22.3850051"
"Thunivu & Varisu","6","4.3221548","45.022172"
"Varisu","1","55.18853865430702","25.074282349999997"
"Thunivu","1","-81.4639835","27.7567667"
"Thunivu","1","79.824659783024","10.805627600000001"
"Thunivu & Varisu","1","80.3217588","26.4609135"
"Varisu","1","-81.243372","42.9832406"
"Thunivu","1","-82.9568899","36.429878"
"Thunivu","29","75.7223521","14.5203896"
"Varisu","1","81.6336993","21.2380912"
"Thunivu & Varisu","3","8.2319736","46.7985624"
"Varisu","1","-114.015407","43.6447642"
